market,domain,url,outcome,fetch_status,parse_status,extraction_confidence,extracted_fields,missing_fields,invalid_fields,address,price,beds,baths,sqft,hoa_monthly,tax_annual,property_type,manual_entry_reason,suggested_user_prompt
Panama City Beach condo,beach-homes.com,https://www.beach-homes.com/florida/upper-grand-lagoon/2400-grandiflora-boulevard-panama-city-beach-fl-32408-lhrmls-02860379,network_error,error,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Hollywood condo,beach-homes.com,https://www.beach-homes.com/florida/hollywood/3725-s-ocean-dr-unit-1221-hollywood-fl-33019-lhrmls-03365196,network_error,error,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Miami condo,beach-homes.com,https://www.beach-homes.com/florida/miami-downtown/465-brickell-ave-unit-2906-miami-fl-33131-lhrmls-03767694,network_error,error,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Cocoa Beach condo,beach-homes.com,https://www.beach-homes.com/florida/cocoa-beach/3150-n-atlantic-avenue-cocoa-beach-fl-32931-lhrmls-03559622,network_error,error,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Clearwater condo,beach-homes.com,https://www.beach-homes.com/florida/clearwater/2800-cove-cay-drive-clearwater-fl-33760-lhrmls-03219700,network_error,error,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Destin condo,condoinvestment.com,https://www.condoinvestment.com/listing-ecar/991116-the-ultimate-condo-residential-280-gulf-shore-drive-341-destin-fl-32541/brochure/,failed,success,failed,low,beds,address|price|baths|sqft|hoa_monthly|tax_annual|property_type,price,,,2,,,,,,"I found a few listing details, but the result is still too low-confidence to trust without manual confirmation.","I found some listing details, but please confirm the core property facts and fill in anything missing: address, asking price, beds, baths, sqft, property type, HOA, and annual taxes."
Miramar Beach condo,condoinvestment.com,https://www.condoinvestment.com/listing-ecar/973948-luau-ii-residential-5002-s-sandestin-boulevard-642123-miramar-beach-fl-32550/brochure/,corrupt,success,corrupt,low,beds|baths,address|price|sqft|hoa_monthly|tax_annual|property_type,price,,,3,2,,,,,"The page was fetched, but some extracted values were unreliable and need confirmation before analysis.","I found some listing details, but please confirm the core property facts and fill in anything missing: address, asking price, beds, baths, sqft, property type, HOA, and annual taxes."
Perdido Key condo,condoinvestment.com,https://www.condoinvestment.com/listing-bcaor-sold/374089-grand-caribbean-at-perdido-key-residential-13500-sandy-key-drive-unit-304w-perdido-key-fl-32507/brochure/,failed,success,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Gulf Shores condo,condoinvestment.com,https://www.condoinvestment.com/listing-bcaor-sold/374124-royal-gulf-beachracquet-club-residential-375-plantation-road-unit-5206-gulf-shores-al-36542/brochure/,failed,success,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
Gulf Shores condo,condoinvestment.com,https://www.condoinvestment.com/listing-bcaor-sold/379246-the-beach-club-residential-527-beach-club-trail-unit-d710-gulf-shores-al-36542/brochure/,failed,success,failed,low,,address|price|beds|baths|sqft|hoa_monthly|tax_annual|property_type,,,,,,,,,,The page did not produce enough reliable property details to continue automatically.,"Please paste the listing description or provide the address, asking price, beds, baths, sqft, property type, HOA, and annual taxes so I can continue the analysis."
